Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls   s/call   s/call  name    
  0.16      6.25     0.01   651995     0.00     0.00  std::__array_traits<std::tuple<unsigned char, unsigned short, unsigned short>, 30ul>::_S_ref(std::tuple<unsigned char, unsigned short, unsigned short> const (&) [30], unsigned long)
  0.16      6.26     0.01   651995     0.00     0.00  void std::vector<unsigned char, std::allocator<unsigned char> >::_M_range_insert<__gnu_cxx::__normal_iterator<unsigned char*, std::vector<unsigned char, std::allocator<unsigned char> > > >(__gnu_cxx::__normal_iterator<unsigned char*, std::vector<unsigned char, std::allocator<unsigned char> > >, __gnu_cxx::__normal_iterator<unsigned char*, std::vector<unsigned char, std::allocator<unsigned char> > >, __gnu_cxx::__normal_iterator<unsigned char*, std::vector<unsigned char, std::allocator<unsigned char> > >, std::forward_iterator_tag)
  0.16      6.27     0.01   651675     0.00     0.00  unsigned char* std::__uninitialized_move_a<unsigned char*, unsigned char*, std::allocator<unsigned char> >(unsigned char*, unsigned char*, unsigned char*, std::allocator<unsigned char>&)
  0.16      6.28     0.01   651675     0.00     0.00  void std::advance<__gnu_cxx::__normal_iterator<unsigned char*, std::vector<unsigned char, std::allocator<unsigned char> > >, unsigned long>(__gnu_cxx::__normal_iterator<unsigned char*, std::vector<unsigned char, std::allocator<unsigned char> > >&, unsigned long)
  0.08      6.29     0.01  1306332     0.00     0.00  std::_Hashtable<unsigned short, std::pair<unsigned short const, std::vector<unsigned short, std::allocator<unsigned short> > >, std::allocator<std::pair<unsigned short const, std::vector<unsigned short, std::allocator<unsigned short> > > >, std::__detail::_Select1st, std::equal_to<unsigned short>, std::hash<unsigned short>, std::__detail::_Mod_range_hashing, std::__detail::_Default_ranged_hash, std::__detail::_Prime_rehash_policy, std::__detail::_Hashtable_traits<false, false, true> >::find(unsigned short const&)
  0.08      6.29     0.01  1304086     0.00     0.00  __gnu_cxx::new_allocator<unsigned char>::new_allocator(__gnu_cxx::new_allocator<unsigned char> const&)
  0.08      6.30     0.01  1303990     0.00     0.00  std::tuple_element<0ul, std::tuple<unsigned char, unsigned short, unsigned short> >::type& std::get<0ul, unsigned char, unsigned short, unsigned short>(std::tuple<unsigned char, unsigned short, unsigned short>&)
  0.08      6.30     0.01      264     0.00     0.00  std::_Hashtable<unsigned short, std::pair<unsigned short const, std::vector<unsigned short, std::allocator<unsigned short> > >, std::allocator<std::pair<unsigned short const, std::vector<unsigned short, std::allocator<unsigned short> > > >, std::__detail::_Select1st, std::equal_to<unsigned short>, std::hash<unsigned short>, std::__detail::_Mod_range_hashing, std::__detail::_Default_ranged_hash, std::__detail::_Prime_rehash_policy, std::__detail::_Hashtable_traits<false, false, true> >::_M_deallocate_buckets()
  0.08      6.31     0.01        1     0.01     0.01  void std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >::_M_construct<char*>(char*, char*, std::forward_iterator_tag)
  0.08      6.31     0.01                             std::unordered_map<unsigned short, std::vector<unsigned short, std::allocator<unsigned short> >, std::hash<unsigned short>, std::equal_to<unsigned short>, std::allocator<std::pair<unsigned short const, std::vector<unsigned short, std::allocator<unsigned short> > > > >::operator=(std::unordered_map<unsigned short, std::vector<unsigned short, std::allocator<unsigned short> >, std::hash<unsigned short>, std::equal_to<unsigned short>, std::allocator<std::pair<unsigned short const, std::vector<unsigned short, std::allocator<unsigned short> > > > > const&)
  0.00      6.31     0.00  9126342     0.00     0.00  __gnu_cxx::__normal_iterator<unsigned char*, std::vector<unsigned char, std::allocator<unsigned char> > >::base() const
  0.00      6.31     0.00  5867327     0.00     0.00  __gnu_cxx::__normal_iterator<unsigned char*, std::vector<unsigned char, std::allocator<unsigned char> > >::__normal_iterator(unsigned char* const&)
  0.00      6.31     0.00  4568416     0.00     0.00  std::is_constant_evaluated()
  0.00      6.31     0.00  3910690     0.00     0.00  unsigned char* std::__niter_base<unsigned char*, std::vector<unsigned char, std::allocator<unsigned char> > >(__gnu_cxx::__normal_iterator<unsigned char*, std::vector<unsigned char, std::allocator<unsigned char> > >)
  0.00      6.31     0.00  2614878     0.00     0.00  __gnu_cxx::__aligned_buffer<std::pair<unsigned short const, std::vector<unsigned short, std::allocator<unsigned short> > > >::_M_ptr()
  0.00      6.31     0.00  2614878     0.00     0.00  __gnu_cxx::__aligned_buffer<std::pair<unsigned short const, std::vector<unsigned short, std::allocator<unsigned short> > > >::_M_addr()
  0.00      6.31     0.00  2614878     0.00     0.00  std::__detail::_Hash_node_value_base<std::pair<unsigned short const, std::vector<unsigned short, std::allocator<unsigned short> > > >::_M_valptr()
  0.00      6.31     0.00  2612771     0.00     0.00  std::__detail::_Node_iterator<std::pair<unsigned short const, std::vector<unsigned short, std::allocator<unsigned short> > >, false, false>::_Node_iterator(std::__detail::_Hash_node<std::pair<unsigned short const, std::vector<unsigned short, std::allocator<unsigned short> > >, false>*)
  0.00      6.31     0.00  2612771     0.00     0.00  std::__detail::_Node_iterator_base<std::pair<unsigned short const, std::vector<unsigned short, std::allocator<unsigned short> > >, false>::_Node_iterator_base(std::__detail::_Hash_node<std::pair<unsigned short const, std::vector<unsigned short, std::allocator<unsigned short> > >, false>*)
  0.00      6.31     0.00  2608984     0.00     0.00  unsigned char* std::__niter_base<unsigned char*>(unsigned char*)
  0.00      6.31     0.00  2608788     0.00     0.00  std::_Vector_base<unsigned char, std::allocator<unsigned char> >::_M_get_Tp_allocator()
  0.00      6.31     0.00  1956129     0.00     0.00  std::allocator<unsigned char>::~allocator()
  0.00      6.31     0.00  1955988     0.00     0.00  std::vector<unsigned char, std::allocator<unsigned char> >::begin()
  0.00      6.31     0.00  1955671     0.00     0.00  std::vector<unsigned char, std::allocator<unsigned char> >::end()
  0.00      6.31     0.00  1955665     0.00     0.00  std::iterator_traits<__gnu_cxx::__normal_iterator<unsigned char*, std::vector<unsigned char, std::allocator<unsigned char> > > >::iterator_category std::__iterator_category<__gnu_cxx::__normal_iterator<unsigned char*, std::vector<unsigned char, std::allocator<unsigned char> > > >(__gnu_cxx::__normal_iterator<unsigned char*, std::vector<unsigned char, std::allocator<unsigned char> > > const&)
  0.00      6.31     0.00  1310291     0.00     0.00  std::__detail::_Hash_node_value_base<std::pair<unsigned short const, std::vector<unsigned short, std::allocator<unsigned short> > > >::_M_v()
  0.00      6.31     0.00  1308650     0.00     0.00  std::__detail::_Hash_code_base<unsigned short, std::pair<unsigned short const, std::vector<unsigned short, std::allocator<unsigned short> > >, std::__detail::_Select1st, std::hash<unsigned short>, std::__detail::_Mod_range_hashing, std::__detail::_Default_ranged_hash, false>::_M_h2() const
  0.00      6.31     0.00  1308650     0.00     0.00  std::__detail::_Mod_range_hashing::operator()(unsigned long, unsigned long) const
  0.00      6.31     0.00  1308650     0.00     0.00  std::__detail::_Hashtable_ebo_helper<2, std::__detail::_Mod_range_hashing, true>::_M_cget() const
  0.00      6.31     0.00  1308578     0.00     0.00  std::hash<unsigned short>::operator()(unsigned short) const
  0.00      6.31     0.00  1308578     0.00     0.00  std::__detail::_Hash_code_base<unsigned short, std::pair<unsigned short const, std::vector<unsigned short, std::allocator<unsigned short> > >, std::__detail::_Select1st, std::hash<unsigned short>, std::__detail::_Mod_range_hashing, std::__detail::_Default_ranged_hash, false>::_M_h1() const
  0.00      6.31     0.00  1308578     0.00     0.00  std::__detail::_Hashtable_ebo_helper<1, std::hash<unsigned short>, true>::_M_cget() const
  0.00      6.31     0.00  1308555     0.00     0.00  std::_Hashtable<unsigned short, std::pair<unsigned short const, std::vector<unsigned short, std::allocator<unsigned short> > >, std::allocator<std::pair<unsigned short const, std::vector<unsigned short, std::allocator<unsigned short> > > >, std::__detail::_Select1st, std::equal_to<unsigned short>, std::hash<unsigned short>, std::__detail::_Mod_range_hashing, std::__detail::_Default_ranged_hash, std::__detail::_Prime_rehash_policy, std::__detail::_Hashtable_traits<false, false, true> >::_M_bucket_index(unsigned short const&, unsigned long) const
  0.00      6.31     0.00  1308555     0.00     0.00  std::__detail::_Hash_code_base<unsigned short, std::pair<unsigned short const, std::vector<unsigned short, std::allocator<unsigned short> > >, std::__detail::_Select1st, std::hash<unsigned short>, std::__detail::_Mod_range_hashing, std::__detail::_Default_ranged_hash, false>::_M_bucket_index(unsigned short const&, unsigned long, unsigned long) const
  0.00      6.31     0.00  1308483     0.00     0.00  std::__detail::_Hash_code_base<unsigned short, std::pair<unsigned short const, std::vector<unsigned short, std::allocator<unsigned short> > >, std::__detail::_Select1st, std::hash<unsigned short>, std::__detail::_Mod_range_hashing, std::__detail::_Default_ranged_hash, false>::_M_hash_code(unsigned short const&) const
  0.00      6.31     0.00  1308342     0.00     0.00  std::__detail::_Hash_code_base<unsigned short, std::pair<unsigned short const, std::vector<unsigned short, std::allocator<unsigned short> > >, std::__detail::_Select1st, std::hash<unsigned short>, std::__detail::_Mod_range_hashing, std::__detail::_Default_ranged_hash, false>::_M_extract() const
  0.00      6.31     0.00  1308342     0.00     0.00  std::__detail::_Hashtable_ebo_helper<0, std::__detail::_Select1st, true>::_M_cget() const
