Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls   s/call   s/call  name    
                0.00    0.00 1303990/1304070     __gnu_cxx::__normal_iterator<unsigned char const*, std::vector<unsigned char, std::allocator<unsigned char> > >::base() const [221]
-----------------------------------------------
                0.00    0.00  651995/651995      __gnu_cxx::__normal_iterator<unsigned char*, std::vector<unsigned char, std::allocator<unsigned char> > > std::vector<unsigned char, std::allocator<unsigned char> >::insert<__gnu_cxx::__normal_iterator<unsigned char*, std::vector<unsigned char, std::allocator<unsigned char> > >, void>(__gnu_cxx::__normal_iterator<unsigned char const*, std::vector<unsigned char, std::allocator<unsigned char> > >, __gnu_cxx::__normal_iterator<unsigned char*, std::vector<unsigned char, std::allocator<unsigned char> > >, __gnu_cxx::__normal_iterator<unsigned char*, std::vector<unsigned char, std::allocator<unsigned char> > >) [21]
[259]    0.0    0.00    0.00  651995         std::vector<unsigned char, std::allocator<unsigned char> >::cbegin() const [259]
                0.00    0.00  651995/652075      __gnu_cxx::__normal_iterator<unsigned char const*, std::vector<unsigned char, std::allocator<unsigned char> > >::__normal_iterator(unsigned char const* const&) [250]
-----------------------------------------------
                0.00    0.00  651995/651995      std::array<std::tuple<unsigned char, unsigned short, unsigned short>, 29ul>::operator[](unsigned long) const [61]
[260]    0.0    0.00    0.00  651995         std::__array_traits<std::tuple<unsigned char, unsigned short, unsigned short>, 29ul>::_S_ref(std::tuple<unsigned char, unsigned short, unsigned short> const (&) [29], unsigned long) [260]
-----------------------------------------------
                0.00    0.00  651995/651995      std::iterator_traits<__gnu_cxx::__normal_iterator<unsigned char*, std::vector<unsigned char, std::allocator<unsigned char> > > >::difference_type std::distance<__gnu_cxx::__normal_iterator<unsigned char*, std::vector<unsigned char, std::allocator<unsigned char> > > >(__gnu_cxx::__normal_iterator<unsigned char*, std::vector<unsigned char, std::allocator<unsigned char> > >, __gnu_cxx::__normal_iterator<unsigned char*, std::vector<unsigned char, std::allocator<unsigned char> > >) [263]
[261]    0.0    0.00    0.00  651995         std::iterator_traits<__gnu_cxx::__normal_iterator<unsigned char*, std::vector<unsigned char, std::allocator<unsigned char> > > >::difference_type std::__distance<__gnu_cxx::__normal_iterator<unsigned char*, std::vector<unsigned char, std::allocator<unsigned char> > > >(__gnu_cxx::__normal_iterator<unsigned char*, std::vector<unsigned char, std::allocator<unsigned char> > >, __gnu_cxx::__normal_iterator<unsigned char*, std::vector<unsigned char, std::allocator<unsigned char> > >, std::random_access_iterator_tag) [261]
                0.00    0.00  651995/1303673     __gnu_cxx::__normal_iterator<unsigned char*, std::vector<unsigned char, std::allocator<unsigned char> > >::difference_type __gnu_cxx::operator-<unsigned char*, std::vector<unsigned char, std::allocator<unsigned char> > >(__gnu_cxx::__normal_iterator<unsigned char*, std::vector<unsigned char, std::allocator<unsigned char> > > const&, __gnu_cxx::__normal_iterator<unsigned char*, std::vector<unsigned char, std::allocator<unsigned char> > > const&) [227]
-----------------------------------------------
                0.00    0.00  651995/651995      unsigned char* std::copy<__gnu_cxx::__normal_iterator<unsigned char*, std::vector<unsigned char, std::allocator<unsigned char> > >, unsigned char*>(__gnu_cxx::__normal_iterator<unsigned char*, std::vector<unsigned char, std::allocator<unsigned char> > >, __gnu_cxx::__normal_iterator<unsigned char*, std::vector<unsigned char, std::allocator<unsigned char> > >, unsigned char*) [77]
[262]    0.0    0.00    0.00  651995         unsigned char* std::__copy_move_a<false, __gnu_cxx::__normal_iterator<unsigned char*, std::vector<unsigned char, std::allocator<unsigned char> > >, unsigned char*>(__gnu_cxx::__normal_iterator<unsigned char*, std::vector<unsigned char, std::allocator<unsigned char> > >, __gnu_cxx::__normal_iterator<unsigned char*, std::vector<unsigned char, std::allocator<unsigned char> > >, unsigned char*) [262]
                0.00    0.00 1303990/3910690     unsigned char* std::__niter_base<unsigned char*, std::vector<unsigned char, std::allocator<unsigned char> > >(__gnu_cxx::__normal_iterator<unsigned char*, std::vector<unsigned char, std::allocator<unsigned char> > >) [188]
                0.00    0.00  651995/2608984     unsigned char* std::__niter_base<unsigned char*>(unsigned char*) [194]
                0.00    0.00  651995/1303670     unsigned char* std::__copy_move_a1<false, unsigned char*, unsigned char*>(unsigned char*, unsigned char*, unsigned char*) [228]
                0.00    0.00  651995/1304336     unsigned char* std::__niter_wrap<unsigned char*>(unsigned char* const&, unsigned char*) [219]
-----------------------------------------------
                0.00    0.00  651995/651995      void std::vector<unsigned char, std::allocator<unsigned char> >::_M_range_insert<__gnu_cxx::__normal_iterator<unsigned char*, std::vector<unsigned char, std::allocator<unsigned char> > > >(__gnu_cxx::__normal_iterator<unsigned char*, std::vector<unsigned char, std::allocator<unsigned char> > >, __gnu_cxx::__normal_iterator<unsigned char*, std::vector<unsigned char, std::allocator<unsigned char> > >, __gnu_cxx::__normal_iterator<unsigned char*, std::vector<unsigned char, std::allocator<unsigned char> > >, std::forward_iterator_tag) [24]
[263]    0.0    0.00    0.00  651995         std::iterator_traits<__gnu_cxx::__normal_iterator<unsigned char*, std::vector<unsigned char, std::allocator<unsigned char> > > >::difference_type std::distance<__gnu_cxx::__normal_iterator<unsigned char*, std::vector<unsigned char, std::allocator<unsigned char> > > >(__gnu_cxx::__normal_iterator<unsigned char*, std::vector<unsigned char, std::allocator<unsigned char> > >, __gnu_cxx::__normal_iterator<unsigned char*, std::vector<unsigned char, std::allocator<unsigned char> > >) [263]
                0.00    0.00  651995/1955665     std::iterator_traits<__gnu_cxx::__normal_iterator<unsigned char*, std::vector<unsigned char, std::allocator<unsigned char> > > >::iterator_category std::__iterator_category<__gnu_cxx::__normal_iterator<unsigned char*, std::vector<unsigned char, std::allocator<unsigned char> > > >(__gnu_cxx::__normal_iterator<unsigned char*, std::vector<unsigned char, std::allocator<unsigned char> > > const&) [199]
                0.00    0.00  651995/651995      std::iterator_traits<__gnu_cxx::__normal_iterator<unsigned char*, std::vector<unsigned char, std::allocator<unsigned char> > > >::difference_type std::__distance<__gnu_cxx::__normal_iterator<unsigned char*, std::vector<unsigned char, std::allocator<unsigned char> > > >(__gnu_cxx::__normal_iterator<unsigned char*, std::vector<unsigned char, std::allocator<unsigned char> > >, __gnu_cxx::__normal_iterator<unsigned char*, std::vector<unsigned char, std::allocator<unsigned char> > >, std::random_access_iterator_tag) [261]
-----------------------------------------------
                0.00    0.00  651675/651675      void std::__advance<__gnu_cxx::__normal_iterator<unsigned char*, std::vector<unsigned char, std::allocator<unsigned char> > >, long>(__gnu_cxx::__normal_iterator<unsigned char*, std::vector<unsigned char, std::allocator<unsigned char> > >&, long, std::random_access_iterator_tag) [265]
[264]    0.0    0.00    0.00  651675         __gnu_cxx::__normal_iterator<unsigned char*, std::vector<unsigned char, std::allocator<unsigned char> > >::operator+=(long) [264]
-----------------------------------------------
                0.00    0.00  651675/651675      void std::advance<__gnu_cxx::__normal_iterator<unsigned char*, std::vector<unsigned char, std::allocator<unsigned char> > >, unsigned long>(__gnu_cxx::__normal_iterator<unsigned char*, std::vector<unsigned char, std::allocator<unsigned char> > >&, unsigned long) [64]
[265]    0.0    0.00    0.00  651675         void std::__advance<__gnu_cxx::__normal_iterator<unsigned char*, std::vector<unsigned char, std::allocator<unsigned char> > >, long>(__gnu_cxx::__normal_iterator<unsigned char*, std::vector<unsigned char, std::allocator<unsigned char> > >&, long, std::random_access_iterator_tag) [265]
                0.00    0.00  651675/651675      __gnu_cxx::__normal_iterator<unsigned char*, std::vector<unsigned char, std::allocator<unsigned char> > >::operator+=(long) [264]
-----------------------------------------------
                0.00    0.00       8/163299      GZipFileFooter::GZipFileFooter(BitInputStream&) [163]
                0.00    0.00      10/163299      GZipFileHeader::GZipFileHeader(BitInputStream&) [162]
                0.00    0.00      12/163299      GZipFile::extract_filename[abi:cxx11]() [664]
                0.00    0.00  163269/163299      BitInputStream::fillBuffer() [267]
[266]    0.0    0.00    0.00  163299         BitInputStream::consumeNextByte() [266]
-----------------------------------------------
                0.00    0.00  163269/163269      BitInputStream::consumeNextBit() [215]
[267]    0.0    0.00    0.00  163269         BitInputStream::fillBuffer() [267]
                0.00    0.00  163269/163299      BitInputStream::consumeNextByte() [266]
-----------------------------------------------
                0.00    0.00      80/13884       unsigned short* std::__niter_base<unsigned short*, std::vector<unsigned short, std::allocator<unsigned short> > >(__gnu_cxx::__normal_iterator<unsigned short*, std::vector<unsigned short, std::allocator<unsigned short> > >) [470]
                0.00    0.00     642/13884       void std::vector<unsigned short, std::allocator<unsigned short> >::_M_realloc_insert<unsigned short const&>(__gnu_cxx::__normal_iterator<unsigned short*, std::vector<unsigned short, std::allocator<unsigned short> > >, unsigned short const&) [148]
                0.00    0.00     722/13884       __gnu_cxx::__normal_iterator<unsigned short*, std::vector<unsigned short, std::allocator<unsigned short> > >::difference_type __gnu_cxx::operator-<unsigned short*, std::vector<unsigned short, std::allocator<unsigned short> > >(__gnu_cxx::__normal_iterator<unsigned short*, std::vector<unsigned short, std::allocator<unsigned short> > > const&, __gnu_cxx::__normal_iterator<unsigned short*, std::vector<unsigned short, std::allocator<unsigned short> > > const&) [327]
                0.00    0.00   12440/13884       bool __gnu_cxx::operator==<unsigned short*, unsigned short*, std::vector<unsigned short, std::allocator<unsigned short> > >(__gnu_cxx::__normal_iterator<unsigned short*, std::vector<unsigned short, std::allocator<unsigned short> > > const&, __gnu_cxx::__normal_iterator<unsigned short*, std::vector<unsigned short, std::allocator<unsigned short> > > const&) [269]
[268]    0.0    0.00    0.00   13884         __gnu_cxx::__normal_iterator<unsigned short*, std::vector<unsigned short, std::allocator<unsigned short> > >::base() const [268]
-----------------------------------------------
                0.00    0.00    6220/6220        GZipFileBlock::constructCodes(std::vector<unsigned short, std::allocator<unsigned short> >&)::{lambda(auto:1)#1} std::for_each<__gnu_cxx::__normal_iterator<unsigned short*, std::vector<unsigned short, std::allocator<unsigned short> > >, GZipFileBlock::constructCodes(std::vector<unsigned short, std::allocator<unsigned short> >&)::{lambda(auto:1)#1}>(__gnu_cxx::__normal_iterator<unsigned short*, std::vector<unsigned short, std::allocator<unsigned short> > >, __gnu_cxx::__normal_iterator<unsigned short*, std::vector<unsigned short, std::allocator<unsigned short> > >, GZipFileBlock::constructCodes(std::vector<unsigned short, std::allocator<unsigned short> >&)::{lambda(auto:1)#1}) [505]
[269]    0.0    0.00    0.00    6220         bool __gnu_cxx::operator==<unsigned short*, unsigned short*, std::vector<unsigned short, std::allocator<unsigned short> > >(__gnu_cxx::__normal_iterator<unsigned short*, std::vector<unsigned short, std::allocator<unsigned short> > > const&, __gnu_cxx::__normal_iterator<unsigned short*, std::vector<unsigned short, std::allocator<unsigned short> > > const&) [269]
                0.00    0.00   12440/13884       __gnu_cxx::__normal_iterator<unsigned short*, std::vector<unsigned short, std::allocator<unsigned short> > >::base() const [268]
-----------------------------------------------
                0.00    0.00    6160/6160        GZipFileBlock::constructCodes(std::vector<unsigned short, std::allocator<unsigned short> >&)::{lambda(auto:1)#1} std::for_each<__gnu_cxx::__normal_iterator<unsigned short*, std::vector<unsigned short, std::allocator<unsigned short> > >, GZipFileBlock::constructCodes(std::vector<unsigned short, std::allocator<unsigned short> >&)::{lambda(auto:1)#1}>(__gnu_cxx::__normal_iterator<unsigned short*, std::vector<unsigned short, std::allocator<unsigned short> > >, __gnu_cxx::__normal_iterator<unsigned short*, std::vector<unsigned short, std::allocator<unsigned short> > >, GZipFileBlock::constructCodes(std::vector<unsigned short, std::allocator<unsigned short> >&)::{lambda(auto:1)#1}) [505]
[270]    0.0    0.00    0.00    6160         __gnu_cxx::__normal_iterator<unsigned short*, std::vector<unsigned short, std::allocator<unsigned short> > >::operator++() [270]
-----------------------------------------------
                0.00    0.00    6160/6160        GZipFileBlock::constructCodes(std::vector<unsigned short, std::allocator<unsigned short> >&)::{lambda(auto:1)#1} std::for_each<__gnu_cxx::__normal_iterator<unsigned short*, std::vector<unsigned short, std::allocator<unsigned short> > >, GZipFileBlock::constructCodes(std::vector<unsigned short, std::allocator<unsigned short> >&)::{lambda(auto:1)#1}>(__gnu_cxx::__normal_iterator<unsigned short*, std::vector<unsigned short, std::allocator<unsigned short> > >, __gnu_cxx::__normal_iterator<unsigned short*, std::vector<unsigned short, std::allocator<unsigned short> > >, GZipFileBlock::constructCodes(std::vector<unsigned short, std::allocator<unsigned short> >&)::{lambda(auto:1)#1}) [505]
[271]    0.0    0.00    0.00    6160         __gnu_cxx::__normal_iterator<unsigned short*, std::vector<unsigned short, std::allocator<unsigned short> > >::operator*() const [271]
-----------------------------------------------
                0.00    0.00    6160/6160        GZipFileBlock::constructCodes(std::vector<unsigned short, std::allocator<unsigned short> >&)::{lambda(auto:1)#1} std::for_each<__gnu_cxx::__normal_iterator<unsigned short*, std::vector<unsigned short, std::allocator<unsigned short> > >, GZipFileBlock::constructCodes(std::vector<unsigned short, std::allocator<unsigned short> >&)::{lambda(auto:1)#1}>(__gnu_cxx::__normal_iterator<unsigned short*, std::vector<unsigned short, std::allocator<unsigned short> > >, __gnu_cxx::__normal_iterator<unsigned short*, std::vector<unsigned short, std::allocator<unsigned short> > >, GZipFileBlock::constructCodes(std::vector<unsigned short, std::allocator<unsigned short> >&)::{lambda(auto:1)#1}) [505]
[272]    0.0    0.00    0.00    6160         auto GZipFileBlock::constructCodes(std::vector<unsigned short, std::allocator<unsigned short> >&)::{lambda(auto:1)#1}::operator()<unsigned short>(unsigned short) const [272]
                0.00    0.00     148/148         std::set<unsigned short, std::less<unsigned short>, std::allocator<unsigned short> >::insert(unsigned short const&) [372]
-----------------------------------------------
                0.00    0.00      83/5204        std::pair<std::_Rb_tree_iterator<unsigned short>, bool> std::_Rb_tree<unsigned short, unsigned short, std::_Identity<unsigned short>, std::less<unsigned short>, std::allocator<unsigned short> >::_M_insert_unique<unsigned short const&>(unsigned short const&) [375]
                0.00    0.00      83/5204        std::_Rb_tree_iterator<unsigned short> std::_Rb_tree<unsigned short, unsigned short, std::_Identity<unsigned short>, std::less<unsigned short>, std::allocator<unsigned short> >::_M_insert_<unsigned short const&, std::_Rb_tree<unsigned short, unsigned short, std::_Identity<unsigned short>, std::less<unsigned short>, std::allocator<unsigned short> >::_Alloc_node>(std::_Rb_tree_node_base*, std::_Rb_tree_node_base*, unsigned short const&, std::_Rb_tree<unsigned short, unsigned short, std::_Identity<unsigned short>, std::less<unsigned short>, std::allocator<unsigned short> >::_Alloc_node&) [457]
                0.00    0.00      83/5204        std::_Rb_tree_node<unsigned short>* std::_Rb_tree<unsigned short, unsigned short, std::_Identity<unsigned short>, std::less<unsigned short>, std::allocator<unsigned short> >::_Alloc_node::operator()<unsigned short const&>(unsigned short const&) const [450]
                0.00    0.00      83/5204        std::_Rb_tree_node<unsigned short>* std::_Rb_tree<unsigned short, unsigned short, std::_Identity<unsigned short>, std::less<unsigned short>, std::allocator<unsigned short> >::_M_create_node<unsigned short const&>(unsigned short const&) [462]
                0.00    0.00      83/5204        void std::_Rb_tree<unsigned short, unsigned short, std::_Identity<unsigned short>, std::less<unsigned short>, std::allocator<unsigned short> >::_M_construct_node<unsigned short const&>(std::_Rb_tree_node<unsigned short>*, unsigned short const&) [464]
                0.00    0.00      83/5204        void std::allocator_traits<std::allocator<std::_Rb_tree_node<unsigned short> > >::construct<unsigned short, unsigned short const&>(std::allocator<std::_Rb_tree_node<unsigned short> >&, unsigned short*, unsigned short const&) [454]
                0.00    0.00     107/5204        std::_Tuple_impl<0ul, unsigned short const&>::_Tuple_impl(std::_Tuple_impl<0ul, unsigned short const&>&&) [416]
                0.00    0.00     107/5204        std::pair<unsigned short const, std::vector<unsigned short, std::allocator<unsigned short> > >::pair<unsigned short const&, 0ul>(std::tuple<unsigned short const&>&, std::tuple<>&, std::_Index_tuple<0ul>, std::_Index_tuple<>) [421]
                0.00    0.00     321/5204        void std::vector<unsigned short, std::allocator<unsigned short> >::_M_realloc_insert<unsigned short const&>(__gnu_cxx::__normal_iterator<unsigned short*, std::vector<unsigned short, std::allocator<unsigned short> > >, unsigned short const&) [148]
                0.00    0.00    2044/5204        void std::allocator_traits<std::allocator<unsigned short> >::construct<unsigned short, unsigned short const&>(std::allocator<unsigned short>&, unsigned short*, unsigned short const&) [278]
                0.00    0.00    2127/5204        decltype (::new ((void*)(0)) unsigned short((declval<unsigned short const&>)())) std::construct_at<unsigned short, unsigned short const&>(unsigned short*, unsigned short const&) [277]
[273]    0.0    0.00    0.00    5204         unsigned short const& std::forward<unsigned short const&>(std::remove_reference<unsigned short const&>::type&) [273]
-----------------------------------------------
                0.00    0.00       3/2439        decltype (::new ((void*)(0)) unsigned char((declval<unsigned char>)())) std::construct_at<unsigned char, unsigned char>(unsigned char*, unsigned char&&) [639]
                0.00    0.00      12/2439        decltype (::new ((void*)(0)) char((declval<char const&>)())) std::construct_at<char, char const&>(char*, char const&) [558]
                0.00    0.00      83/2439        void std::_Rb_tree<unsigned short, unsigned short, std::_Identity<unsigned short>, std::less<unsigned short>, std::allocator<unsigned short> >::_M_construct_node<unsigned short const&>(std::_Rb_tree_node<unsigned short>*, unsigned short const&) [464]
                0.00    0.00     107/2439        std::__detail::_Hash_node<std::pair<unsigned short const, std::vector<unsigned short, std::allocator<unsigned short> > >, false>* std::__detail::_Hashtable_alloc<std::allocator<std::__detail::_Hash_node<std::pair<unsigned short const, std::vector<unsigned short, std::allocator<unsigned short> > >, false> > >::_M_allocate_node<std::piecewise_construct_t const&, std::tuple<unsigned short const&>, std::tuple<> >(std::piecewise_construct_t const&, std::tuple<unsigned short const&>&&, std::tuple<>&&) [426]
                0.00    0.00     107/2439        decltype (::new ((void*)(0)) std::pair<unsigned short const, std::vector<unsigned short, std::allocator<unsigned short> > >((declval<std::piecewise_construct_t const&>)(), (declval<std::tuple<unsigned short const&> >)(), (declval<std::tuple<> >)())) std::construct_at<std::pair<unsigned short const, std::vector<unsigned short, std::allocator<unsigned short> > >, std::piecewise_construct_t const&, std::tuple<unsigned short const&>, std::tuple<> >(std::pair<unsigned short const, std::vector<unsigned short, std::allocator<unsigned short> > >*, std::piecewise_construct_t const&, std::tuple<unsigned short const&>&&, std::tuple<>&&) [432]
                0.00    0.00    2127/2439        decltype (::new ((void*)(0)) unsigned short((declval<unsigned short const&>)())) std::construct_at<unsigned short, unsigned short const&>(unsigned short*, unsigned short const&) [277]
[274]    0.0    0.00    0.00    2439         operator new(unsigned long, void*) [274]
-----------------------------------------------
                0.00    0.00      60/2361        std::vector<unsigned short, std::allocator<unsigned short> >::_M_fill_initialize(unsigned long, unsigned short const&) [156]
                0.00    0.00      64/2361        std::vector<unsigned short, std::allocator<unsigned short> >::_M_default_initialize(unsigned long) [151]
                0.00    0.00      80/2361        void std::vector<unsigned short, std::allocator<unsigned short> >::_M_range_initialize<__gnu_cxx::__normal_iterator<unsigned short*, std::vector<unsigned short, std::allocator<unsigned short> > > >(__gnu_cxx::__normal_iterator<unsigned short*, std::vector<unsigned short, std::allocator<unsigned short> > >, __gnu_cxx::__normal_iterator<unsigned short*, std::vector<unsigned short, std::allocator<unsigned short> > >, std::forward_iterator_tag) [515]
                0.00    0.00     288/2361        std::vector<unsigned short, std::allocator<unsigned short> >::vector(std::vector<unsigned short, std::allocator<unsigned short> > const&) [161]
                0.00    0.00     334/2361        std::vector<unsigned short, std::allocator<unsigned short> >::_M_move_assign(std::vector<unsigned short, std::allocator<unsigned short> >&&, std::integral_constant<bool, true>) [90]
                0.00    0.00     642/2361        void std::vector<unsigned short, std::allocator<unsigned short> >::_M_realloc_insert<unsigned short const&>(__gnu_cxx::__normal_iterator<unsigned short*, std::vector<unsigned short, std::allocator<unsigned short> > >, unsigned short const&) [148]
                0.00    0.00     893/2361        std::vector<unsigned short, std::allocator<unsigned short> >::~vector() [41]
[275]    0.0    0.00    0.00    2361         std::_Vector_base<unsigned short, std::allocator<unsigned short> >::_M_get_Tp_allocator() [275]
-----------------------------------------------
                0.00    0.00      40/2254        unsigned short* std::__copy_move_a<false, __gnu_cxx::__normal_iterator<unsigned short*, std::vector<unsigned short, std::allocator<unsigned short> > >, unsigned short*>(__gnu_cxx::__normal_iterator<unsigned short*, std::vector<unsigned short, std::allocator<unsigned short> > >, __gnu_cxx::__normal_iterator<unsigned short*, std::vector<unsigned short, std::allocator<unsigned short> > >, unsigned short*) [520]
                0.00    0.00     288/2254        unsigned short* std::__copy_move_a<false, __gnu_cxx::__normal_iterator<unsigned short const*, std::vector<unsigned short, std::allocator<unsigned short> > >, unsigned short*>(__gnu_cxx::__normal_iterator<unsigned short const*, std::vector<unsigned short, std::allocator<unsigned short> > >, __gnu_cxx::__normal_iterator<unsigned short const*, std::vector<unsigned short, std::allocator<unsigned short> > >, unsigned short*) [339]
                0.00    0.00    1926/2254        unsigned short* std::__relocate_a<unsigned short*, unsigned short*, std::allocator<unsigned short> >(unsigned short*, unsigned short*, unsigned short*, std::allocator<unsigned short>&) [309]
[276]    0.0    0.00    0.00    2254         unsigned short* std::__niter_base<unsigned short*>(unsigned short*) [276]
-----------------------------------------------
                0.00    0.00      83/2127        void std::allocator_traits<std::allocator<std::_Rb_tree_node<unsigned short> > >::construct<unsigned short, unsigned short const&>(std::allocator<std::_Rb_tree_node<unsigned short> >&, unsigned short*, unsigned short const&) [454]
                0.00    0.00    2044/2127        void std::allocator_traits<std::allocator<unsigned short> >::construct<unsigned short, unsigned short const&>(std::allocator<unsigned short>&, unsigned short*, unsigned short const&) [278]
[277]    0.0    0.00    0.00    2127         decltype (::new ((void*)(0)) unsigned short((declval<unsigned short const&>)())) std::construct_at<unsigned short, unsigned short const&>(unsigned short*, unsigned short const&) [277]
                0.00    0.00    2127/5204        unsigned short const& std::forward<unsigned short const&>(std::remove_reference<unsigned short const&>::type&) [273]
                0.00    0.00    2127/2439        operator new(unsigned long, void*) [274]
-----------------------------------------------
                0.00    0.00     321/2044        void std::vector<unsigned short, std::allocator<unsigned short> >::_M_realloc_insert<unsigned short const&>(__gnu_cxx::__normal_iterator<unsigned short*, std::vector<unsigned short, std::allocator<unsigned short> > >, unsigned short const&) [148]
                0.00    0.00    1723/2044        std::vector<unsigned short, std::allocator<unsigned short> >::push_back(unsigned short const&) [146]
[278]    0.0    0.00    0.00    2044         void std::allocator_traits<std::allocator<unsigned short> >::construct<unsigned short, unsigned short const&>(std::allocator<unsigned short>&, unsigned short*, unsigned short const&) [278]
                0.00    0.00    2044/5204        unsigned short const& std::forward<unsigned short const&>(std::remove_reference<unsigned short const&>::type&) [273]
                0.00    0.00    2044/2127        decltype (::new ((void*)(0)) unsigned short((declval<unsigned short const&>)())) std::construct_at<unsigned short, unsigned short const&>(unsigned short*, unsigned short const&) [277]
-----------------------------------------------
                0.00    0.00     316/2044        HuffmanTableToMap::{lambda(HuffmanTable const&)#1}::operator()(HuffmanTable const) const [121]
                0.00    0.00     316/2044        HuffmanTableToMap::{lambda(HuffmanTable const&)#1}::operator()(HuffmanTable const) const [122]
                0.00    0.00     316/2044        HuffmanTableToMap::{lambda(HuffmanTable const&)#1}::operator()(HuffmanTable const) const [123]
                0.00    0.00     316/2044        HuffmanTableToMap::{lambda(HuffmanTable const&)#1}::operator()(HuffmanTable const) const [124]
                0.00    0.00     316/2044        HuffmanTableToMap::{lambda(HuffmanTable const&)#1}::operator()(HuffmanTable const) const [125]
                0.00    0.00     464/2044        HuffmanTableToMap::{lambda(HuffmanTable const&)#1}::operator()(HuffmanTable const) const [72]
[279]    0.0    0.00    0.00    2044         bool std::__detail::operator==<std::pair<unsigned short const, std::vector<unsigned short, std::allocator<unsigned short> > >, false>(std::__detail::_Node_iterator_base<std::pair<unsigned short const, std::vector<unsigned short, std::allocator<unsigned short> > >, false> const&, std::__detail::_Node_iterator_base<std::pair<unsigned short const, std::vector<unsigned short, std::allocator<unsigned short> > >, false> const&) [279]
-----------------------------------------------
                0.00    0.00       2/1676        FIXED_LITERALS_TABLE::{lambda()#1}::operator()() const [128]
                0.00    0.00       2/1676        FIXED_DISTANCE_TABLE::{lambda()#1}::operator()() const [134]
                0.00    0.00       2/1676        FIXED_LITERALS_TABLE::{lambda()#1}::operator()() const [129]
                0.00    0.00       2/1676        FIXED_DISTANCE_TABLE::{lambda()#1}::operator()() const [135]
                0.00    0.00       2/1676        FIXED_LITERALS_TABLE::{lambda()#1}::operator()() const [130]
                0.00    0.00       2/1676        FIXED_DISTANCE_TABLE::{lambda()#1}::operator()() const [136]
                0.00    0.00       2/1676        FIXED_LITERALS_TABLE::{lambda()#1}::operator()() const [131]
                0.00    0.00       2/1676        FIXED_DISTANCE_TABLE::{lambda()#1}::operator()() const [137]
                0.00    0.00       2/1676        FIXED_LITERALS_TABLE::{lambda()#1}::operator()() const [132]
                0.00    0.00       2/1676        FIXED_DISTANCE_TABLE::{lambda()#1}::operator()() const [138]
                0.00    0.00       2/1676        FIXED_LITERALS_TABLE::{lambda()#1}::operator()() const [133]
                0.00    0.00       2/1676        FIXED_DISTANCE_TABLE::{lambda()#1}::operator()() const [139]
                0.00    0.00      60/1676        GZipFileBlock::constructCodes(std::vector<unsigned short, std::allocator<unsigned short> >&) [141]
                0.00    0.00      80/1676        GZipFileBlock::decode_dynamic_codes() [49]
                0.00    0.00     164/1676        std::vector<unsigned short, std::allocator<unsigned short> >::_S_check_init_len(unsigned long, std::allocator<unsigned short> const&) [370]
                0.00    0.00     167/1676        std::vector<unsigned short, std::allocator<unsigned short> >::_M_move_assign(std::vector<unsigned short, std::allocator<unsigned short> >&&, std::integral_constant<bool, true>) [90]
                0.00    0.00     288/1676        std::vector<unsigned short, std::allocator<unsigned short> >::vector(std::vector<unsigned short, std::allocator<unsigned short> > const&) [161]
                0.00    0.00     893/1676        std::_Vector_base<unsigned short, std::allocator<unsigned short> >::_Vector_impl::~_Vector_impl() [288]
[280]    0.0    0.00    0.00    1676         std::allocator<unsigned short>::~allocator() [280]
-----------------------------------------------
                0.00    0.00    1238/1238        std::allocator<unsigned short>::allocator(std::allocator<unsigned short> const&) [282]
[281]    0.0    0.00    0.00    1238         __gnu_cxx::new_allocator<unsigned short>::new_allocator(__gnu_cxx::new_allocator<unsigned short> const&) [281]
-----------------------------------------------
                0.00    0.00     164/1238        std::vector<unsigned short, std::allocator<unsigned short> >::_S_check_init_len(unsigned long, std::allocator<unsigned short> const&) [370]
                0.00    0.00     167/1238        std::_Vector_base<unsigned short, std::allocator<unsigned short> >::get_allocator() const [362]
                0.00    0.00     288/1238        std::allocator_traits<std::allocator<unsigned short> >::select_on_container_copy_construction(std::allocator<unsigned short> const&) [337]
                0.00    0.00     619/1238        std::_Vector_base<unsigned short, std::allocator<unsigned short> >::_Vector_impl::_Vector_impl(std::allocator<unsigned short> const&) [311]
[282]    0.0    0.00    0.00    1238         std::allocator<unsigned short>::allocator(std::allocator<unsigned short> const&) [282]
                0.00    0.00    1238/1238        __gnu_cxx::new_allocator<unsigned short>::new_allocator(__gnu_cxx::new_allocator<unsigned short> const&) [281]
-----------------------------------------------
                0.00    0.00     274/1227        std::_Vector_base<unsigned short, std::allocator<unsigned short> >::_Vector_impl::_Vector_impl() [345]
                0.00    0.00     334/1227        std::_Vector_base<unsigned short, std::allocator<unsigned short> >::_Vector_impl_data::_M_swap_data(std::_Vector_base<unsigned short, std::allocator<unsigned short> >::_Vector_impl_data&) [329]
                0.00    0.00     619/1227        std::_Vector_base<unsigned short, std::allocator<unsigned short> >::_Vector_impl::_Vector_impl(std::allocator<unsigned short> const&) [311]
[283]    0.0    0.00    0.00    1227         std::_Vector_base<unsigned short, std::allocator<unsigned short> >::_Vector_impl_data::_Vector_impl_data() [283]
-----------------------------------------------
